Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 11:21:14,12-02-2024 11:21:15,"0,776s",PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,12-02-2024 11:21:15,12-02-2024 11:21:18,"2,979s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 11:21:18,12-02-2024 11:21:23,"5,630s",PASSED
"setText(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/input_OR_username""), ""dika12"")",Chrome 121.0.0.0,,,12-02-2024 11:21:23,12-02-2024 11:21:24,"0,866s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/input_Username_password""), ""fXA3uZeumTE="")",Chrome 121.0.0.0,,,12-02-2024 11:21:24,12-02-2024 11:21:25,"1,169s",PASSED
"sendKeys(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/input_Username_password""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 11:21:25,12-02-2024 11:21:26,"0,497s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/div_TABLETS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 11:21:26,12-02-2024 11:21:27,"1,153s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/svg_SHOP NOW_menuCart""))",Chrome 121.0.0.0,,,12-02-2024 11:21:27,12-02-2024 11:21:29,"2,268s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/span_Color_rabbit""))",Chrome 121.0.0.0,,,12-02-2024 11:21:29,12-02-2024 11:21:32,"2,700s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/div_Quantity_plus""))",Chrome 121.0.0.0,,,12-02-2024 11:21:32,12-02-2024 11:21:32,"0,502s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/button_ADD TO CART""))",Chrome 121.0.0.0,,,12-02-2024 11:21:32,12-02-2024 11:21:33,"0,284s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/svg_SHOP NOW_menuCart""))",Chrome 121.0.0.0,,,12-02-2024 11:21:33,12-02-2024 11:22:16,"43,544s",PASSED
,,,,,,,
Test Cases/Edit chart,Chrome 121.0.0.0,,,12-02-2024 11:22:16,12-02-2024 11:23:10,"53,802s",PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 11:22:16,12-02-2024 11:22:17,"0,743s",PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,12-02-2024 11:22:17,12-02-2024 11:22:20,"2,655s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 11:22:20,12-02-2024 11:22:25,"5,665s",PASSED
"setText(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/input_OR_username""), ""dika12"")",Chrome 121.0.0.0,,,12-02-2024 11:22:25,12-02-2024 11:22:26,"0,876s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/input_Username_password""), ""fXA3uZeumTE="")",Chrome 121.0.0.0,,,12-02-2024 11:22:26,12-02-2024 11:22:27,"1,187s",PASSED
"sendKeys(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/input_Username_password""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 11:22:27,12-02-2024 11:22:28,"0,494s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/div_TABLETS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 11:22:28,12-02-2024 11:22:30,"2,256s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/svg_SHOP NOW_menuCart""))",Chrome 121.0.0.0,,,12-02-2024 11:22:30,12-02-2024 11:22:32,"2,189s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/span_Color_rabbit""))",Chrome 121.0.0.0,,,12-02-2024 11:22:32,12-02-2024 11:22:35,"2,892s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/div_Quantity_plus""))",Chrome 121.0.0.0,,,12-02-2024 11:22:35,12-02-2024 11:22:36,"0,499s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/button_ADD TO CART""))",Chrome 121.0.0.0,,,12-02-2024 11:22:36,12-02-2024 11:22:36,"0,281s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/svg_SHOP NOW_menuCart""))",Chrome 121.0.0.0,,,12-02-2024 11:22:36,12-02-2024 11:23:07,"31,371s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/a_EDIT""))",Chrome 121.0.0.0,,,12-02-2024 11:23:07,12-02-2024 11:23:09,"1,736s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/div_Quantity_minus""))",Chrome 121.0.0.0,,,12-02-2024 11:23:09,12-02-2024 11:23:10,"0,494s",PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Advantage Shopping/button_ADD TO CART""))",Chrome 121.0.0.0,,,12-02-2024 11:23:10,12-02-2024 11:23:10,"0,389s",PASSED
