Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Login/Page_Advantage Shopping/button_SIGN IN""))",Chrome 121.0.0.0,,,12-02-2024 11:11:13,12-02-2024 11:11:14,"0,501s",PASSED
,,,,,,,
Test Cases/Login,Chrome 121.0.0.0,,,12-02-2024 11:11:14,12-02-2024 11:11:26,"11,827s",PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 11:11:14,12-02-2024 11:11:15,"0,783s",PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,12-02-2024 11:11:15,12-02-2024 11:11:17,"2,614s",PASSED
"click(findTestObject(""Object Repository/Login/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 11:11:17,12-02-2024 11:11:23,"5,639s",PASSED
"setText(findTestObject(""Object Repository/Login/Page_Advantage Shopping/input_OR_username""), username)",Chrome 121.0.0.0,,,12-02-2024 11:11:23,12-02-2024 11:11:24,"0,875s",PASSED
"setText(findTestObject(""Object Repository/Login/Page_Advantage Shopping/input_Username_password""), password)",Chrome 121.0.0.0,,,12-02-2024 11:11:24,12-02-2024 11:11:25,"1,402s",PASSED
"click(findTestObject(""Object Repository/Login/Page_Advantage Shopping/button_SIGN IN""))",Chrome 121.0.0.0,,,12-02-2024 11:11:25,12-02-2024 11:11:26,"0,502s",PASSED
,,,,,,,
Test Cases/Login,Chrome 121.0.0.0,,,12-02-2024 11:11:26,12-02-2024 11:11:38,"11,873s",PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 11:11:26,12-02-2024 11:11:27,"0,783s",PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,12-02-2024 11:11:27,12-02-2024 11:11:29,"2,628s",PASSED
"click(findTestObject(""Object Repository/Login/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 11:11:29,12-02-2024 11:11:35,"5,629s",PASSED
"setText(findTestObject(""Object Repository/Login/Page_Advantage Shopping/input_OR_username""), username)",Chrome 121.0.0.0,,,12-02-2024 11:11:35,12-02-2024 11:11:36,"0,882s",PASSED
"setText(findTestObject(""Object Repository/Login/Page_Advantage Shopping/input_Username_password""), password)",Chrome 121.0.0.0,,,12-02-2024 11:11:36,12-02-2024 11:11:37,"1,427s",PASSED
"click(findTestObject(""Object Repository/Login/Page_Advantage Shopping/button_SIGN IN""))",Chrome 121.0.0.0,,,12-02-2024 11:11:37,12-02-2024 11:11:38,"0,509s",PASSED
